"numero_ocorrencia","ano","mes","dia","rpm_2024","ueop_2024","cia_pm","pelotao","nome_municipio","nome_bairro","natureza_ocorrencia_descricao_longa","numero_envolvido","envolvimento_descricao","furto","roubo","extorsao","data_fato"
"2024-045429940-001",2024,10,8,"15 RPM","19 BPM","47 CIA PM",PC,TEOFILO OTONI,FATIMA,EXTORSAO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,0,1,"2024-10-08"
"2024-045389110-001",2024,10,7,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,SANTA CLARA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-07"
"2024-045318158-001",2024,10,5,"15 RPM","19 BPM","47 CIA PM",PC,TEOFILO OTONI,CIDADE ALTA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-05"
"2024-045256728-001",2024,10,7,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,,ROUBO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-10-07"
"2024-045256728-001",2024,10,7,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,,ROUBO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-10-07"
"2024-045255749-001",2024,10,6,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-06"
"2024-045216180-001",2024,10,7,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-07"
"2024-045192387-001",2024,10,5,"15 RPM","19 BPM","155 CIA PM",PM,ATALEIA,COQUEIRAL,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-05"
"2024-045168700-001",2024,10,7,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,SAO DIOGO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-07"
"2024-045129077-001",2024,10,6,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,MARAJOARA,ROUBO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-10-06"
"2024-045103761-001",2024,10,6,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-06"
"2024-045079128-001",2024,10,6,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-06"
"2024-044895572-001",2024,10,5,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-05"
"2024-044891245-001",2024,10,6,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-06"
"2024-044805138-001",2024,10,3,"15 RPM","19 BPM","232 CIA PM",PM,MALACACHETA,VARZEA,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-03"
"2024-044664826-001",2024,10,4,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-04"
"2024-044630139-001",2024,10,4,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,CONCORDIA,FURTO,3.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-04"
"2024-044615591-001",2024,10,4,"15 RPM","19 BPM","232 CIA PM",PM,LADAINHA,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-04"
